ref_image,input_image,x-shift,y-shift
TranslationDataset/Test/reference/slide003_core0920.png,TranslationDataset/Test/input/slide003_core0920.png,63,18
TranslationDataset/Test/reference/slide003_core0921.png,TranslationDataset/Test/input/slide003_core0921.png,44,56
TranslationDataset/Test/reference/slide003_core0922.png,TranslationDataset/Test/input/slide003_core0922.png,45,45
TranslationDataset/Test/reference/slide003_core0923.png,TranslationDataset/Test/input/slide003_core0923.png,53,59
TranslationDataset/Test/reference/slide003_core0924.png,TranslationDataset/Test/input/slide003_core0924.png,30,60
TranslationDataset/Test/reference/slide003_core0925.png,TranslationDataset/Test/input/slide003_core0925.png,15,6
TranslationDataset/Test/reference/slide003_core0926.png,TranslationDataset/Test/input/slide003_core0926.png,8,2
TranslationDataset/Test/reference/slide003_core0927.png,TranslationDataset/Test/input/slide003_core0927.png,1,23
TranslationDataset/Test/reference/slide003_core0928.png,TranslationDataset/Test/input/slide003_core0928.png,57,21
TranslationDataset/Test/reference/slide003_core0929.png,TranslationDataset/Test/input/slide003_core0929.png,34,12
TranslationDataset/Test/reference/slide003_core09210.png,TranslationDataset/Test/input/slide003_core09210.png,27,59
TranslationDataset/Test/reference/slide003_core09211.png,TranslationDataset/Test/input/slide003_core09211.png,32,1
TranslationDataset/Test/reference/slide003_core09212.png,TranslationDataset/Test/input/slide003_core09212.png,22,61
TranslationDataset/Test/reference/slide003_core09213.png,TranslationDataset/Test/input/slide003_core09213.png,21,10
TranslationDataset/Test/reference/slide003_core09214.png,TranslationDataset/Test/input/slide003_core09214.png,13,46
TranslationDataset/Test/reference/slide003_core09215.png,TranslationDataset/Test/input/slide003_core09215.png,1,24
TranslationDataset/Test/reference/slide003_core09216.png,TranslationDataset/Test/input/slide003_core09216.png,57,14
TranslationDataset/Test/reference/slide003_core09217.png,TranslationDataset/Test/input/slide003_core09217.png,13,50
TranslationDataset/Test/reference/slide003_core09218.png,TranslationDataset/Test/input/slide003_core09218.png,52,48
TranslationDataset/Test/reference/slide003_core09219.png,TranslationDataset/Test/input/slide003_core09219.png,43,61
TranslationDataset/Test/reference/slide003_core09220.png,TranslationDataset/Test/input/slide003_core09220.png,53,17
TranslationDataset/Test/reference/slide003_core09221.png,TranslationDataset/Test/input/slide003_core09221.png,49,11
