ref_image,input_image,x-shift,y-shift
TranslationDataset/Train/reference/slide001_core0110.png,TranslationDataset/Train/input/slide001_core0110.png,32,1
TranslationDataset/Train/reference/slide001_core0111.png,TranslationDataset/Train/input/slide001_core0111.png,21,58
TranslationDataset/Train/reference/slide001_core0112.png,TranslationDataset/Train/input/slide001_core0112.png,37,27
TranslationDataset/Train/reference/slide001_core0113.png,TranslationDataset/Train/input/slide001_core0113.png,16,15
TranslationDataset/Train/reference/slide001_core0114.png,TranslationDataset/Train/input/slide001_core0114.png,60,14
TranslationDataset/Train/reference/slide001_core0115.png,TranslationDataset/Train/input/slide001_core0115.png,49,20
TranslationDataset/Train/reference/slide001_core0116.png,TranslationDataset/Train/input/slide001_core0116.png,38,45
TranslationDataset/Train/reference/slide001_core0117.png,TranslationDataset/Train/input/slide001_core0117.png,49,24
TranslationDataset/Train/reference/slide001_core0118.png,TranslationDataset/Train/input/slide001_core0118.png,42,33
TranslationDataset/Train/reference/slide001_core0119.png,TranslationDataset/Train/input/slide001_core0119.png,11,7
TranslationDataset/Train/reference/slide001_core01110.png,TranslationDataset/Train/input/slide001_core01110.png,45,42
TranslationDataset/Train/reference/slide001_core01111.png,TranslationDataset/Train/input/slide001_core01111.png,58,36
TranslationDataset/Train/reference/slide001_core01112.png,TranslationDataset/Train/input/slide001_core01112.png,18,48
TranslationDataset/Train/reference/slide001_core01113.png,TranslationDataset/Train/input/slide001_core01113.png,46,20
TranslationDataset/Train/reference/slide001_core01114.png,TranslationDataset/Train/input/slide001_core01114.png,28,16
TranslationDataset/Train/reference/slide001_core01115.png,TranslationDataset/Train/input/slide001_core01115.png,24,26
TranslationDataset/Train/reference/slide001_core01116.png,TranslationDataset/Train/input/slide001_core01116.png,27,53
TranslationDataset/Train/reference/slide001_core01117.png,TranslationDataset/Train/input/slide001_core01117.png,1,41
TranslationDataset/Train/reference/slide001_core01118.png,TranslationDataset/Train/input/slide001_core01118.png,39,56
TranslationDataset/Train/reference/slide001_core01119.png,TranslationDataset/Train/input/slide001_core01119.png,56,7
TranslationDataset/Train/reference/slide001_core01120.png,TranslationDataset/Train/input/slide001_core01120.png,63,43
TranslationDataset/Train/reference/slide001_core01121.png,TranslationDataset/Train/input/slide001_core01121.png,11,18
TranslationDataset/Train/reference/slide001_core01122.png,TranslationDataset/Train/input/slide001_core01122.png,37,45
TranslationDataset/Train/reference/slide001_core01123.png,TranslationDataset/Train/input/slide001_core01123.png,12,13
TranslationDataset/Train/reference/slide001_core01124.png,TranslationDataset/Train/input/slide001_core01124.png,4,60
TranslationDataset/Train/reference/slide001_core01125.png,TranslationDataset/Train/input/slide001_core01125.png,58,52
TranslationDataset/Train/reference/slide001_core01126.png,TranslationDataset/Train/input/slide001_core01126.png,15,42
TranslationDataset/Train/reference/slide001_core01127.png,TranslationDataset/Train/input/slide001_core01127.png,3,7
TranslationDataset/Train/reference/slide001_core01128.png,TranslationDataset/Train/input/slide001_core01128.png,34,19
TranslationDataset/Train/reference/slide001_core01129.png,TranslationDataset/Train/input/slide001_core01129.png,36,30
TranslationDataset/Train/reference/slide001_core01130.png,TranslationDataset/Train/input/slide001_core01130.png,49,46
TranslationDataset/Train/reference/slide001_core01131.png,TranslationDataset/Train/input/slide001_core01131.png,14,43
TranslationDataset/Train/reference/slide001_core01132.png,TranslationDataset/Train/input/slide001_core01132.png,45,17
TranslationDataset/Train/reference/slide001_core01133.png,TranslationDataset/Train/input/slide001_core01133.png,51,26
TranslationDataset/Train/reference/slide001_core01134.png,TranslationDataset/Train/input/slide001_core01134.png,23,55
TranslationDataset/Train/reference/slide001_core01135.png,TranslationDataset/Train/input/slide001_core01135.png,46,61
TranslationDataset/Train/reference/slide001_core01136.png,TranslationDataset/Train/input/slide001_core01136.png,49,10
TranslationDataset/Train/reference/slide001_core01137.png,TranslationDataset/Train/input/slide001_core01137.png,12,48
TranslationDataset/Train/reference/slide001_core01138.png,TranslationDataset/Train/input/slide001_core01138.png,35,22
TranslationDataset/Train/reference/slide001_core01139.png,TranslationDataset/Train/input/slide001_core01139.png,47,11
TranslationDataset/Train/reference/slide001_core01140.png,TranslationDataset/Train/input/slide001_core01140.png,29,40
TranslationDataset/Train/reference/slide001_core01141.png,TranslationDataset/Train/input/slide001_core01141.png,47,2
TranslationDataset/Train/reference/slide001_core01142.png,TranslationDataset/Train/input/slide001_core01142.png,5,52
TranslationDataset/Train/reference/slide001_core01143.png,TranslationDataset/Train/input/slide001_core01143.png,51,36
TranslationDataset/Train/reference/slide001_core01144.png,TranslationDataset/Train/input/slide001_core01144.png,62,20
TranslationDataset/Train/reference/slide001_core01145.png,TranslationDataset/Train/input/slide001_core01145.png,51,42
TranslationDataset/Train/reference/slide001_core01146.png,TranslationDataset/Train/input/slide001_core01146.png,16,23
TranslationDataset/Train/reference/slide001_core01147.png,TranslationDataset/Train/input/slide001_core01147.png,52,15
TranslationDataset/Train/reference/slide001_core01148.png,TranslationDataset/Train/input/slide001_core01148.png,42,55
TranslationDataset/Train/reference/slide001_core01149.png,TranslationDataset/Train/input/slide001_core01149.png,59,10
TranslationDataset/Train/reference/slide001_core01150.png,TranslationDataset/Train/input/slide001_core01150.png,13,13
TranslationDataset/Train/reference/slide001_core01151.png,TranslationDataset/Train/input/slide001_core01151.png,59,18
TranslationDataset/Train/reference/slide001_core01152.png,TranslationDataset/Train/input/slide001_core01152.png,4,4
TranslationDataset/Train/reference/slide001_core01153.png,TranslationDataset/Train/input/slide001_core01153.png,19,26
TranslationDataset/Train/reference/slide001_core01154.png,TranslationDataset/Train/input/slide001_core01154.png,23,18
TranslationDataset/Train/reference/slide001_core01155.png,TranslationDataset/Train/input/slide001_core01155.png,40,6
TranslationDataset/Train/reference/slide001_core01156.png,TranslationDataset/Train/input/slide001_core01156.png,8,16
TranslationDataset/Train/reference/slide001_core01157.png,TranslationDataset/Train/input/slide001_core01157.png,17,20
TranslationDataset/Train/reference/slide001_core01158.png,TranslationDataset/Train/input/slide001_core01158.png,16,61
TranslationDataset/Train/reference/slide001_core01159.png,TranslationDataset/Train/input/slide001_core01159.png,7,17
TranslationDataset/Train/reference/slide001_core01160.png,TranslationDataset/Train/input/slide001_core01160.png,1,24
TranslationDataset/Train/reference/slide001_core01161.png,TranslationDataset/Train/input/slide001_core01161.png,62,56
TranslationDataset/Train/reference/slide001_core01162.png,TranslationDataset/Train/input/slide001_core01162.png,5,7
TranslationDataset/Train/reference/slide001_core01163.png,TranslationDataset/Train/input/slide001_core01163.png,8,63
TranslationDataset/Train/reference/slide001_core01164.png,TranslationDataset/Train/input/slide001_core01164.png,52,50
TranslationDataset/Train/reference/slide001_core01165.png,TranslationDataset/Train/input/slide001_core01165.png,18,63
TranslationDataset/Train/reference/slide001_core01166.png,TranslationDataset/Train/input/slide001_core01166.png,3,62
TranslationDataset/Train/reference/slide001_core01167.png,TranslationDataset/Train/input/slide001_core01167.png,27,19
TranslationDataset/Train/reference/slide001_core01168.png,TranslationDataset/Train/input/slide001_core01168.png,59,37
TranslationDataset/Train/reference/slide001_core01169.png,TranslationDataset/Train/input/slide001_core01169.png,0,28
TranslationDataset/Train/reference/slide001_core01170.png,TranslationDataset/Train/input/slide001_core01170.png,6,55
TranslationDataset/Train/reference/slide001_core01171.png,TranslationDataset/Train/input/slide001_core01171.png,59,34
TranslationDataset/Train/reference/slide001_core01172.png,TranslationDataset/Train/input/slide001_core01172.png,52,33
TranslationDataset/Train/reference/slide001_core01173.png,TranslationDataset/Train/input/slide001_core01173.png,24,52
TranslationDataset/Train/reference/slide001_core01174.png,TranslationDataset/Train/input/slide001_core01174.png,61,62
TranslationDataset/Train/reference/slide001_core01175.png,TranslationDataset/Train/input/slide001_core01175.png,26,63
TranslationDataset/Train/reference/slide001_core01176.png,TranslationDataset/Train/input/slide001_core01176.png,35,62
TranslationDataset/Train/reference/slide001_core01177.png,TranslationDataset/Train/input/slide001_core01177.png,23,1
TranslationDataset/Train/reference/slide001_core01178.png,TranslationDataset/Train/input/slide001_core01178.png,3,38
TranslationDataset/Train/reference/slide001_core01179.png,TranslationDataset/Train/input/slide001_core01179.png,9,48
TranslationDataset/Train/reference/slide001_core01180.png,TranslationDataset/Train/input/slide001_core01180.png,48,52
TranslationDataset/Train/reference/slide001_core01181.png,TranslationDataset/Train/input/slide001_core01181.png,21,20
TranslationDataset/Train/reference/slide001_core01182.png,TranslationDataset/Train/input/slide001_core01182.png,10,19
TranslationDataset/Train/reference/slide001_core01183.png,TranslationDataset/Train/input/slide001_core01183.png,14,44
TranslationDataset/Train/reference/slide001_core01184.png,TranslationDataset/Train/input/slide001_core01184.png,63,32
TranslationDataset/Train/reference/slide001_core01185.png,TranslationDataset/Train/input/slide001_core01185.png,10,33
TranslationDataset/Train/reference/slide001_core01186.png,TranslationDataset/Train/input/slide001_core01186.png,12,36
TranslationDataset/Train/reference/slide001_core01187.png,TranslationDataset/Train/input/slide001_core01187.png,9,10
TranslationDataset/Train/reference/slide001_core01188.png,TranslationDataset/Train/input/slide001_core01188.png,35,4
TranslationDataset/Train/reference/slide001_core01189.png,TranslationDataset/Train/input/slide001_core01189.png,54,53
TranslationDataset/Train/reference/slide001_core01190.png,TranslationDataset/Train/input/slide001_core01190.png,7,56
TranslationDataset/Train/reference/slide001_core01191.png,TranslationDataset/Train/input/slide001_core01191.png,48,53
TranslationDataset/Train/reference/slide001_core01192.png,TranslationDataset/Train/input/slide001_core01192.png,8,59
TranslationDataset/Train/reference/slide001_core01193.png,TranslationDataset/Train/input/slide001_core01193.png,35,6
TranslationDataset/Train/reference/slide001_core01194.png,TranslationDataset/Train/input/slide001_core01194.png,40,60
TranslationDataset/Train/reference/slide001_core01195.png,TranslationDataset/Train/input/slide001_core01195.png,35,7
